id_venta,fecha,ciudad,region,canal,categoria,producto,segmento_cliente,metodo_pago,precio_unitario,cantidad,descuento,ingreso,costo,utilidad,satisfaccion,dias_envio,devuelto
V109866,2023-01-01,Lima,Costa,Tienda fisica,Deportes,Bicicleta MTB,Nuevo,Efectivo,256.65,2,0.0,513.3,359.31,153.99,5.0,0,False
V106119,2023-01-01,Iquitos,Oriente,Web,Hogar,Set de Ollas,Recurrente,Tarjeta credito,160.68,5,0.041,770.46,538.28,232.18,5.0,1,False
V101836,2023-01-01,Trujillo,Norte,Tienda fisica,Deportes,Bicicleta MTB,Recurrente,Tarjeta debito,185.07,1,0.032,179.15,129.55,49.6,3.5,0,False
V101157,2023-01-01,Lima,Costa,Web,Moda,Vestido Casual,VIP,Tarjeta debito,103.46,4,0.152,350.94,227.61,123.33,5.0,5,False
V103502,2023-01-01,Arequipa,Sur,Web,Moda,Jean Slim,Nuevo,Billetera digital,126.05,3,0.0,378.15,207.98,170.17,5.0,4,False
V110194,2023-01-01,Lima,Costa,Tienda fisica,Tecnologia,Smartphone X,Nuevo,Efectivo,445.1,1,0.095,402.82,364.98,37.84,5.0,0,True
V110217,2023-01-01,Lima,Costa,Web,Moda,Jean Slim,Recurrente,Efectivo,149.08,4,0.0,596.32,327.98,268.34,4.0,4,False
V105481,2023-01-01,Tacna,Sur,Tienda fisica,Tecnologia,"Monitor 27""",Nuevo,Efectivo,730.16,1,0.0,730.16,598.73,131.43,4.5,0,False
V103452,2023-01-02,Arequipa,Sur,App movil,Deportes,Balon Pro,Recurrente,Tarjeta credito,205.53,1,0.126,179.63,143.87,35.76,5.0,6,False
V103150,2023-01-02,Lima,Costa,Web,Tecnologia,Smartphone X,Nuevo,Tarjeta credito,374.35,3,0.031,1088.24,920.9,167.34,4.5,7,False
V102879,2023-01-02,Lima,Costa,Tienda fisica,Hogar,Set de Ollas,Nuevo,Efectivo,34.53,4,0.0,138.12,92.54,45.58,4.0,0,False
V105539,2023-01-02,Lima,Costa,Marketplace,Hogar,Juego de Sabanas,Nuevo,Efectivo,107.82,2,0.007,214.13,144.48,69.65,4.5,8,False
V104641,2023-01-02,Lima,Costa,Tienda fisica,Moda,Casaca Denim,VIP,Tarjeta credito,174.77,4,0.191,565.56,384.49,181.07,4.5,0,False
V107030,2023-01-02,Huancayo,Centro,Tienda fisica,Hogar,Organizador Modular,Recurrente,Tarjeta debito,139.29,3,0.008,414.53,279.97,134.56,4.0,0,False
V101220,2023-01-02,Trujillo,Norte,Tienda fisica,Moda,Polo Basico,VIP,Tarjeta credito,131.8,4,0.0,527.2,289.96,237.24,3.5,0,False
V110050,2023-01-02,Iquitos,Oriente,Web,Deportes,Mancuernas 10kg,Nuevo,Billetera digital,44.05,1,0.104,39.47,30.83,8.64,4.5,6,False
V108034,2023-01-02,Chiclayo,Norte,Tienda fisica,Hogar,Set de Ollas,Recurrente,Efectivo,133.95,2,0.041,256.92,179.49,77.43,4.5,0,False
V100743,2023-01-02,Trujillo,Norte,Web,Moda,Zapatillas Urbanas,Nuevo,Tarjeta credito,31.88,2,0.0,63.76,35.07,28.69,5.0,2,False
V110919,2023-01-02,Lima,Costa,Tienda fisica,Tecnologia,Tablet Air,Recurrente,Tarjeta debito,271.61,3,0.035,786.31,668.16,118.15,5.0,0,False
V104552,2023-01-03,Piura,Norte,Web,Hogar,Set de Ollas,Nuevo,Tarjeta credito,118.91,5,0.0,594.55,398.35,196.2,4.0,5,False
V109714,2023-01-03,Trujillo,Norte,Web,Hogar,Organizador Modular,Nuevo,Billetera digital,12.0,2,0.105,21.48,16.08,5.4,4.0,4,False
V107008,2023-01-03,Huancayo,Centro,Tienda fisica,Tecnologia,"Monitor 27""",Recurrente,Tarjeta credito,457.78,1,0.031,443.59,375.38,68.21,5.0,0,False
V100740,2023-01-03,Trujillo,Norte,Web,Deportes,Bicicleta MTB,VIP,Tarjeta credito,88.92,3,0.154,225.68,186.73,38.95,4.5,4,False
V111776,2023-01-03,Huancayo,Centro,Tienda fisica,Tecnologia,Audifonos ANC,Recurrente,Tarjeta credito,283.05,1,0.051,268.61,232.1,36.51,4.0,0,False
V108014,2023-01-04,Lima,Costa,Tienda fisica,Tecnologia,Tablet Air,Nuevo,Tarjeta debito,256.01,2,0.0,512.02,419.86,92.16,3.5,0,False
V108298,2023-01-04,Trujillo,Norte,Web,Belleza,Perfume 100ml,Recurrente,Billetera digital,34.4,5,0.0,172.0,86.0,86.0,4.0,5,False
V100997,2023-01-04,Trujillo,Norte,Web,Electrodomesticos,Refrigeradora 400L,Nuevo,Efectivo,895.21,1,0.051,849.55,698.26,151.29,4.5,8,False
V108583,2023-01-04,Cusco,Sur,Tienda fisica,Tecnologia,Tablet Air,Nuevo,Tarjeta credito,285.51,5,0.024,1393.29,1170.59,222.7,5.0,0,False
V103876,2023-01-04,Lima,Costa,Web,Deportes,Mancuernas 10kg,Recurrente,Tarjeta debito,130.9,2,0.0,261.8,183.26,78.54,4.5,6,False
V104418,2023-01-04,Trujillo,Norte,App movil,Moda,Casaca Denim,Nuevo,Tarjeta credito,45.13,3,0.101,121.72,74.46,47.26,3.5,4,False
V106402,2023-01-04,Arequipa,Sur,Tienda fisica,Tecnologia,Audifonos ANC,Recurrente,Efectivo,435.84,1,0.044,416.66,357.39,59.27,3.5,0,False
V108958,2023-01-05,Arequipa,Sur,Tienda fisica,Electrodomesticos,Aspiradora Robot,Recurrente,Efectivo,321.15,5,0.078,1480.5,1252.49,228.01,3.5,0,False
V110212,2023-01-05,Chiclayo,Norte,Tienda fisica,Tecnologia,Smartphone X,VIP,Tarjeta debito,437.65,1,0.079,403.08,358.87,44.21,5.0,0,False
V103491,2023-01-05,Lima,Costa,Web,Tecnologia,Laptop Pro 14,Nuevo,Efectivo,360.68,5,0.076,1666.34,1478.79,187.55,3.5,6,False
V107635,2023-01-05,Trujillo,Norte,Tienda fisica,Deportes,Bicicleta MTB,VIP,Tarjeta debito,169.19,2,0.102,303.87,236.87,67.0,3.5,0,False
V106622,2023-01-05,Arequipa,Sur,Web,Tecnologia,"Monitor 27""",VIP,Billetera digital,157.4,1,0.086,143.86,129.07,14.79,4.0,1,False
V102730,2023-01-05,Arequipa,Sur,Tienda fisica,Hogar,Set de Ollas,Recurrente,Efectivo,12.0,3,0.089,32.8,24.12,8.68,3.5,0,False
V105182,2023-01-06,Lima,Costa,App movil,Deportes,Balon Pro,Nuevo,Billetera digital,214.62,3,0.0,643.86,450.7,193.16,4.5,8,False
V110325,2023-01-06,Huancayo,Centro,Tienda fisica,Belleza,Perfume 100ml,Recurrente,Tarjeta debito,48.92,3,0.041,140.74,73.38,67.36,3.0,0,False
V106586,2023-01-06,Trujillo,Norte,Tienda fisica,Tecnologia,Laptop Pro 14,Recurrente,Tarjeta credito,349.23,2,0.032,676.11,572.74,103.37,3.5,0,False
V110241,2023-01-06,Trujillo,Norte,Tienda fisica,Hogar,Set de Ollas,Recurrente,Tarjeta debito,146.31,5,0.086,668.64,490.14,178.5,4.5,0,False
V111873,2023-01-06,Lima,Costa,App movil,Tecnologia,Tablet Air,Recurrente,Tarjeta debito,465.08,1,0.056,439.04,381.37,57.67,5.0,8,False
V104314,2023-01-06,Iquitos,Oriente,App movil,Tecnologia,Smartphone X,Recurrente,Efectivo,82.31,2,0.139,141.74,134.99,6.75,4.5,7,False
V107465,2023-01-06,Cusco,Sur,Tienda fisica,Belleza,Kit Skincare,Recurrente,Efectivo,85.37,3,0.058,241.26,128.06,113.2,5.0,0,False
V103206,2023-01-07,Lima,Costa,Tienda fisica,Hogar,Organizador Modular,Recurrente,Tarjeta debito,101.63,5,0.052,481.73,340.46,141.27,3.5,0,False
